10,Q,H4,K,10
J,H5,Q,J,J
W,VS,W,H4,W
H5,H3,H5,H3,H5
H4,H2,H4,H2,H4
H3,H1,VS,H1,H3
H2,W,H2,W,H2
H1,H5,H1,H5,H1
Q,VS,Q,H4,Q
K,H3,K,H3,K
A,H2,A,H2,A
10,W,VS,W,10
J,H1,J,H1,J
SC,A,SC,A,SC
W,K,W,K,W
H5,Q,H5,Q,H5
H4,VS,H4,J,H4
SH,10,SH,10,SH
H3,H5,H3,H5,H3
H2,H4,H2,H4,H2
H1,H3,VS,H3,H1
W,H2,W,H2,W
A,H1,A,H1,A
K,W,K,W,K
Q,A,Q,A,Q
J,K,J,K,J
GSH,VS,W,H4,GSH
10,J,H4,J,10
W,10,H3,10,W
H5,W,H2,W,H5
H4,SC,VS,SC,H4
H3,H5,W,H5,H3
H2,H4,H5,H4,H2
H1,SH,H4,SH,H1
A,H3,VS,H3,A
K,H2,H2,H2,K
Q,H1,H1,H1,Q
J,W,W,W,J
10,A,A,A,10
W,K,K,K,W
H5,Q,VS,Q,H5
H4,J,J,J,H4
H3,10,10,10,H3
GSH,W,SC,W,GSH
H2,H5,W,H5,H2
H1,H4,H4,H4,H1
SH,H3,SH,H3,SH
W,VS,H2,H2,W
A,H1,H1,H1,A
K,W,VS,W,K
Q,A,A,A,Q
J,K,K,K,J
10,Q,Q,Q,10
W,J,VS,J,W
H5,10,10,10,H5
