W,H4,VS,H4,W
H5,H3,H5,H3,H5
H4,W,H4,W,H4
H3,VS,H3,H2,H3
W,H1,W,H1,W
H2,W,VS,W,H2
H1,H5,H1,H5,H1
W,VS,W,H4,W
A,H3,A,H3,A
K,W,VS,W,K
Q,H2,Q,H2,Q
W,VS,W,H1,W
SC,A,SC,A,SC
W,K,VS,K,W
H5,W,H5,W,H5
H4,Q,VS,Q,H4
SH,J,SH,J,SH
W,VS,W,10,W
H3,H5,H3,H5,H3
W,H4,VS,H4,W
H2,H3,H2,H3,H2
H1,W,VS,W,H1
W,VS,W,H2,W
GSH,H1,GSH,H1,GSH
A,W,VS,W,A
K,H5,K,H5,K
W,VS,W,H4,W
J,H3,VS,H3,J
10,W,10,W,10
W,H2,VS,H2,W
H5,SC,H5,SC,H5
H4,W,VS,W,H4
SH,H1,SH,H1,SH
H3,VS,H3,W,H3
W,A,W,A,W
H2,K,VS,K,H2
H1,W,H1,W,H1
W,Q,VS,Q,W
A,J,A,J,A
GSH,W,GSH,VS,GSH
K,10,K,10,K
W,VS,W,W,W
Q,H5,VS,H5,Q
J,H4,J,H4,J
W,H3,VS,H3,W
10,H2,10,H2,10
W,H1,VS,H1,W
H5,W,H5,W,H5
H4,A,VS,A,H4
W,K,W,K,W
H3,Q,VS,Q,H3
H2,J,H2,J,H2
W,VS,W,10,W
SH,W,SH,W,SH
W,H4,VS,H4,W
